ASIN,Product Name,Category,Keyword,Number of Reviews,Average Review Score,Manufacturer,Price,Unit Count
B0BHCJ9HSX,Womens Razor Variety Pack 14 Refill Carridges with Razor Handle,razors,women,178,4.9,,32.99,
B07HM8H1XH,Pure Silk Contour 6 Premium Disposable Razor Value Pack Bundle (3 Packs/9 Total Razors),razors,women,86,4.9,,23.99,
B00Q70RCSK,"Gillette Venus Deluxe Smooth Swirl Womens Razor Blade Refills, 6 Count, Moisture Ribbon to Protect Against Irritation (Pack of 1)",razors,women,11284,4.8,,26.44,
B01MTAP5ID,"Schick Quattro Ultra Smooth Razor Blade Refills for Women Value Pack, 10 Count",razors,women,9066,4.8,,19.99,
B0168MB1RO,"Gillette Venus Extra Smooth Sensitive Womens Razor Blade Refills, 6 Count, Designed for Women with Sensitive Skin, BLUE",razors,women,5865,4.8,,26.77,
B071JC4ST1,"Gillette Venus Extra Smooth Platinum Razor & Refills, 11-count",razors,women,823,4.8,,,
B071NG6H1J,"Schick Quattro for Women Razor, Enriched with Aloe and Vitamin E, 15 Cartridges",razors,women,447,4.8,,29.89,
B085MJNBHH,"BIC Soleil Color Collection Disposable Razors for Women, 16-Count, 3 Blades - Premium Shaving Razor Set with Aloe Vera and Vitamin E Lubricating Strip - Luxurious Personal Care Products",razors,women,438,4.8,,31.25,
B098FD4FBC,"BIC Click 5 Soleil Women's Razor Refills with 5 Flexible Blades and Recyclable Box, Pink, 8 Count",razors,women,281,4.8,,11.99,
B08SDF17VP,Gillette Venus Deluxe Smooth Sensitive Women's Razor Handle + 2 Blade Refills,razors,women,40,4.9,,14.97,
B00I5H5Z1O,"Gillette Venus Extra Smooth On The Go Razor For Women, Handle + 1 Blade Refill + 1 Travel Case, Great Addition To Your Travel Size Toiletries",razors,women,18611,4.7,,12.59,
B0787K2Y6P,"BIC Silky Touch Women's Disposable Razors, With 2 Blades, Pretty Pastel Razor Handles, 40 Count Value Pack of Shaving Razors",razors,women,14574,4.7,,9.56,
B082QBYZ9R,"joy Razors for Women, 1 Handle, 4 Razor Blade Refills, Teal, Lubrastrip to Help Avoid Skin Irritation",razors,women,13064,4.7,,12.74,
B07MRV34KK,"Gillette Venus Platinum Extra Smooth Razors for Women, 1 Venus Razor, 4 Razor Blade Refills, Metal Handle with Anti-Slip Grip",razors,women,9734,4.7,,24.99,
B07MRV5H7S,"Gillette Venus Extra Smooth Swirl Razors for Women , 1 Razor , 4 Razor Blade Refills , Flexiball Handle a Close , Shave",razors,women,8317,4.7,,24.94,
