ASIN,Product Name,Category,Keyword,Unit Count,Number of Reviews,Average Review Score,Manufacturer,Price
B0039LMTAQ,Gillette Venus Sensitive Women&#x27;s Disposable Razors - Single Package of 3 Razors (Packaging May Vary),razors,women,3,40235,4.6,,$6.94
B07CYN88NJ,"Amazon Basics 5-Blade Razor for Women, Handle, 12 Cartridges &amp; Shower Hanger, Fit Handles only, 14 Piece Set, Blue (Previously Solimo)",razors,women,12,34705,4.5,,$20.40
B0037LOPQY,"Gillette Venus Tropical Disposable Razors for Women, 3+1 Count, Designed for a Smooth Shave, Tropical Fragrance Scented Handles",razors,women,4,21863,4.6,,$6.94
B002L5WFT6,"BIC Soleil Smooth Scented Women’s Disposable Razor, 3 Blades with a Moisture Strip For a Silky Shave, Assorted, 4 Piece Razor Set",razors,women,4,10753,4.6,,$5.47
B0787K2Y6P,"BIC Silky Touch Women&#x27;s Disposable Razors, With 2 Blades, Pretty Pastel Razor Handles, 40 Count Value Pack of Shaving Razors",razors,women,40,14574,4.7,,$9.56
B07N6W7RPC,"Gillette Venus ComfortGlide Razors for Women, 1 Razor, 4 Razor Blade Refills, White Tea Scented Gel Bars (Pack of 1)",razors,women,5,16307,4.6,,$16.99
B07JWQX7V4,"Gillette Venus Simply 3 Sensitive Women&#x27;s Disposable Razors, Pack of 1 with 4 razors",razors,women,1,2647,4.4,,$5.99
B003EMNITQ,"Gillette Venus ComfortGlide Womens Razor Blade Refills, 6 Count,(Pack of 1) White Tea Scented Gel Bar Protects Against Skin Irritation",razors,women,6,16509,4.8,,$21.97
B07GCJT4JR,"BIC Soleil Smooth Colors Women&#x27;s Disposable Razors With Aloe Vera and vitamin E Lubricating Strip for Enhanced Glide, With 3 Blades, 10 Count",razors,women,10,34619,4.6,,$11.49
B001JQLNCS,"Gillette Venus ComfortGlide Disposable Razors for Women, 2 Count, White Tea Scented Moisture Bars for a Smooth Shave",razors,women,2,5117,4.6,,$6.97
B08RP8LL7V,"Amazon Basics 5 Blade FITS Razor for Women, Fits Amazon Basics and Venus Handles, Includes 1 FITS Handle, 2 Cartridges &amp; 1 Shower Hanger, Pink",razors,women,2,5344,4.4,,$7.35
B0039LMT9W,"Gillette Venus Simply3 Women&#x27;s Disposable Razors, 4 Count (Pack of 1)",razors,women,4,696,4.3,,$5.96
B09NCC4WT5,"BIC Soleil Escape Women&#x27;s Disposable Razors, 3 Blade Razor, Moisture Strip With 100% Natural Almond Oil, Lavender and Eucalyptus Scented Handles, 4 Pack Disposable Razors For Women Green",razors,women,4,768,4.6,,$4.39
B004B8IDFQ,"BIC Soleil Comfort 4-Blade Disposable Razors for Women Sensitive Skin Razor for a Smooth and Close Shave, 3 Piece Razor Set",razors,women,3,8105,4.6,,$5.47
B001JQLNGY,"Gillette Sensor3 Comfort Disposable Razors for Men, 8 Count, Lubrastrip Glides Easily Over Your Skin",razors,men,8,40286,4.5,,$9.99
