ASIN,Product Name,Category,Keyword,Number of Reviews,Average Review Score,Manufacturer,Price,Unit Count
B0B1D812JK,"Women's Razors Bikini Trimmer Durable Travel Accessories Women Razors Shavers Pubics Hair Removal Beauty Razors T Type Razors For Body Cosmetic Tool (Pink, One Size)",razors,women,,,,0.1,
B0B48LHKFQ,"Women's Razors Bikini Trimmer,Durable Travel Accessories Women Razors Shavers Pubics Hair Removal Beauty Razors T Type Razors For Body Cosmetic Tool (Hot Pink, One Size)",razors,women,,,,0.98,
B0CT8KW5W2,3Pcs Women Hair Removal Tool Single Blade Razors Leg Face Underarm Shaver Sharp Gentle Stainless Steel Hair Shaver 3pcs,razors,women,,,,0.99,
B097NMT3ZS,Womens Simply Venus Disposable Razors 9 Count,razors,women,14.0,4.1,,,
B0CKL8T5QB,"Bikini Razors Women Small Bikini Trimmer Durable Travel Accessories Women Razors Shavers Pubics Hair Removal Beauty Razors T Type Razors for Body Cosmetic Tool Wax Roller (Light Blue, One Size)",razors,women,,,,1.46,
B0CRYF8SYP,"Women's Razors Bikini Trimmer Durable Travel Accessories Women Razors Shavers Pubics Hair Removal Beauty Razors T Type Razors For Body Cosmetic Tool Wax Roll on Nose Hair Removal (Green, One Size)",razors,women,,,,2.39,
B07NR43R9B,"About Face Fuzz-Free Facial Razors for Shaving & Exfoliating - Includes 3 Beauty Groomers - For Face, Lips & Eyebrows",razors,women,29038.0,4.5,,2.94,
B000P158OW,"BIC Silky Touch Women's Disposable Razors, With 2 Blades, Pretty Pastel Razor Handles, 10 Count (Pack of 1)",razors,women,5524.0,4.5,,2.97,
B00DL4GMFY,BIC Simply Soleil Woman's Razor - 1 Package,razors,women,96.0,4.3,,,
B07Q1HVP6C,"Kai About Face Body Twin Blade Pivoting Disposable Razors; 12 Shavers for Women; Curve-Hugging Pivoting Head with Aloe & Vitamin E Strip, Shaving Razors for Women",razors,women,990.0,3.3,,3.0,
B0C3DKYDM8,"Disposable Woman Razors With Twin Blades Its Lubricating Stip With Vitamin E and Aloe Vera Provides Easy Gliding on The Skin Surface, and Minimizes The Irritations (5 Pack)",razors,women,,,,,
B00OI9DI76,"Personna Gentle Touch Razors for Women, with Lubricating Strip,5 Pack",razors,women,5.0,4.2,,3.19,
B000R2WYYQ,"BIC Single Blade Razor, Sensitive, 12 ct",razors,women,1723.0,4.5,,3.42,
B0C3DHPV6F,"Disposable Woman Razors Triple Blade The Luricating Strip Soaked in Aloe Vera and Vitamin E Promotes Easier Glide For the blades, Beside Its Moisturizing And Calming Effect (3 Pack)",razors,women,,,,,
B000YAJMRI,"Preserve Razor Blade Triple, 2 ct",razors,women,57.0,3.5,,11.92,
B07DQS7J85,Womens 5 Blade Disposable Razor - 2ct - Up&up153 (Compare to Venus Embrace),razors,women,15.0,4.6,,,
B0CM659RGN,"2 Pcs Face Body Spa Shave Razors for Women Hair Removal, Pack Portable Travel Razors for Women, Bikini Trimmer, Lady Manual Shaving Armpit Hair Knife Non-Slip Set for Travel Carry",razors,women,,,,3.95,
B0C42HK36M,Trim Touch Up Razors,razors,women,1.0,1.0,,3.99,
B0CQ4ZGNQK,"Razor for Women, Shaving Razors Body Shaver",razors,women,,,,3.99,
B095BVJ2SB,New Skintimate Spark Razors,razors,women,85.0,4.5,,4.33,
B09NCC4WT5,"BIC Soleil Escape Women's Disposable Razors, 3 Blade Razor, Moisture Strip With 100% Natural Almond Oil, Lavender and Eucalyptus Scented Handles, 4 Pack Disposable Razors For Women Green",razors,women,768.0,4.6,,4.39,
B09M9WPWT9,"Women's Sensitive Shaver, T-Type Beauty Razor, Portable Small Armpit Hair Trimmer, Non-Slip Hair Removal Accessories for Women ， Safety Razor Rose Gold with Safety Razor Stand",razors,women,,,,4.39,
B07HNM12YD,5 Pack of Blue Razor Blades Disposable Stainless Steel Hospitality Quality Shavers High End Twin Blade Razors for Men and Women with Aloe Vera Lubrication Strip,razors,women,18.0,4.0,,4.75,
B0CJ6KMG16,"Facial Razors for Shaving & Exfoliating (3 count) Beauty Groomers - For Face, Lips & Eyebrows",razors,women,1.0,5.0,,4.85,
B0CCRCPC9P,"Women's Razors Bikini Trimmer Durable Travel Accessories Women Razors Shavers Pubics Hair Removal Beauty Razors T Type Razors For Body Cosmetic Tool Beauty Must Haves (Green, One Size)",razors,women,,,,4.89,
B0CPB64NXF,"Facial Fuzz-Free Razor, Eyebrow Trimmer Professional Exfoliating Dermaplaning Tool, Peach Fuzz Shaver and Multipurpose Home Skin Care for Women (Pack of 4, Gray)",razors,women,,,,4.9,
B07N7N65LR,"6 Pack Nylea Eyebrow Razor Trimmer [Extra Precision] Disposable Facial Hair Shaper Remover, Dermaplaning Dermaplane Shaving Tool - Facial Shave Shaver with Precision Cover for Men & Women",razors,women,16517.0,4.3,,4.99,
B07Z5HQGX1,"Touch-Up Eyebrow Razor Dermaplaning Tool, and Facial Razor with Precision Guide cover, 3 pack skin care kit wax-less",razors,women,291.0,4.2,,4.99,
B0CQMBVRNF,"Micro Grooved Derma Blades Facial Razor, Wheat Straw Facial Razor for Women and Men, Eyebrow Razor, Bikini Razor, Hair Trimmer, Facial Hair Remover",razors,women,,,,4.99,
B0CRPTPHBQ,"Facial Razor (3 Count) Dermaplaning Tool with Protective Cover, Hair Removal Kit for Face, Lips & Eyebrow, Brow Shaper, Eyebrow Razor, Precision Face Shaving Exfoliation Grooming Beauty Essential",razors,women,,,,4.99,
B0CCRHGVL1,"Women's Razors Bikini Trimmer Durable Travel Accessories Women Razors Shavers Pubics Hair Removal Beauty Razors T Type Razors For Body Cosmetic Tool Beauty Must Haves (Yellow, One Size)",razors,women,,,,4.99,
B0CCRG57SR,"Women's Razors Bikini Trimmer Durable Travel Accessories Women Razors Shavers Pubics Hair Removal Beauty Razors T Type Razors For Body Cosmetic Tool Beauty Must Haves (Light Blue, One Size)",razors,women,,,,4.99,
B0CCRD9GMQ,"Women's Razors Bikini Trimmer Durable Travel Accessories Women Razors Shavers Pubics Hair Removal Beauty Razors T Type Razors For Body Cosmetic Tool Beauty Must Haves (Hot Pink, One Size)",razors,women,,,,4.99,
B0CCRBQLBG,"Women's Razors Bikini Trimmer Durable Travel Accessories Women Razors Shavers Pubics Hair Removal Beauty Razors T Type Razors For Body Cosmetic Tool Beauty Must Haves (Pink, One Size)",razors,women,,,,4.99,
B0CMRWPYSQ,The Crème Shop Portable Precision Razors + Travel Case | Dermaplaning Tool for Face | Face Razors for Women | Stocking Stuffers for Women (Pack of 2),razors,women,1.0,5.0,,5.0,
B09Z4KF969,"Womens Razors, Reusable Womens Shaving Razors Elastic Sensing with 3 Blades for Women for Private Parts",razors,women,,,,5.15,
B001RYWCWM,Wilkinson Sword Xtreme 3 Beauty Disposable Razor For Women 4 + 2 Free,razors,women,1452.0,4.4,,,
B000M47DPO,"BIC Twin Lady, Pack 5, Twin Blade Razor",razors,women,1846.0,4.4,,5.23,
B0C5D6BK77,"Womens Razors, Lubrication Strip Elastic Sensing Blade Not Scratch Skin Red Womens Shaving Razors for Armpit",razors,women,,,,5.24,
