ASIN,Product Name,Category,Keyword,Number of Reviews,Average Review Score,Manufacturer,Price,Unit Count
B0039LMTAQ,Gillette Venus Sensitive Women's Disposable Razors - Single Package of 3 Razors (Packaging May Vary),razors,women,40235,4.6,,6.94,
B0037LOPQY,"Gillette Venus Tropical Disposable Razors for Women, 3+1 Count, Designed for a Smooth Shave, Tropical Fragrance Scented Handles",razors,women,21863,4.6,,6.94,
B002L5WFT6,"BIC Soleil Smooth Scented Women’s Disposable Razor, 3 Blades with a Moisture Strip For a Silky Shave, Assorted, 4 Piece Razor Set",razors,women,10753,4.6,,5.47,
B07CYN88NJ,"Amazon Basics 5-Blade Razor for Women, Handle, 12 Cartridges & Shower Hanger, Fit Handles only, 14 Piece Set, Blue (Previously Solimo)",razors,women,34705,4.5,,20.4,
B0787K2Y6P,"BIC Silky Touch Women's Disposable Razors, With 2 Blades, Pretty Pastel Razor Handles, 40 Count Value Pack of Shaving Razors",razors,women,14574,4.7,,9.56,
B07JWQX7V4,"Gillette Venus Simply 3 Sensitive Women's Disposable Razors, Pack of 1 with 4 razors",razors,women,2647,4.4,,5.99,
B001JQLNCS,"Gillette Venus ComfortGlide Disposable Razors for Women, 2 Count, White Tea Scented Moisture Bars for a Smooth Shave",razors,women,5117,4.6,,6.97,
B07N6W7RPC,"Gillette Venus ComfortGlide Razors for Women, 1 Razor, 4 Razor Blade Refills, White Tea Scented Gel Bars (Pack of 1)",razors,women,16308,4.6,,16.99,
B0039LMT9W,"Gillette Venus Simply3 Women's Disposable Razors, 4 Count (Pack of 1)",razors,women,696,4.3,,5.96,
B08RP8LL7V,"Amazon Basics 5 Blade FITS Razor for Women, Fits Amazon Basics and Venus Handles, Includes 1 FITS Handle, 2 Cartridges & 1 Shower Hanger, Pink",razors,women,5344,4.4,,7.35,
B003YUYVMQ,"BIC Soleil SMOOTH COLORS Disposable Razors for Women Sensitive Skin Razor With Aloe Vera and Vitamin E Lubricating Strip and 3 Blades, 8 Piece Razor Set",razors,women,34619,4.6,,8.99,
B003EMNITQ,"Gillette Venus ComfortGlide Womens Razor Blade Refills, 6 Count,(Pack of 1) White Tea Scented Gel Bar Protects Against Skin Irritation",razors,women,16509,4.8,,21.97,
B08JHVDNY1,"Gillette Venus Intimate Grooming Razors for Women, 1 Venus Razor Bikini Trimmer, 2 Razor Blade Refills, Pink, (Package May Vary)",razors,women,18253,4.3,,9.0,
B08FP82QS5,Schick Hydro Silk Sensitive Skin Razor for Women With 5 Moisturizing Razor Blade Refills,razors,women,2913,4.6,,16.99,
B082QBYZ9R,"joy Razors for Women, 1 Handle, 4 Razor Blade Refills, Teal, Lubrastrip to Help Avoid Skin Irritation",razors,women,13064,4.7,,12.74,
B005FUFPGO,"Gillette Venus Daisy Classic Disposable Razors for Women, 18 Count, Hair Removal for Women",razors,women,5893,4.7,,14.97,
B09NCC4WT5,"BIC Soleil Escape Women's Disposable Razors, 3 Blade Razor, Moisture Strip With 100% Natural Almond Oil, Lavender and Eucalyptus Scented Handles, 4 Pack Disposable Razors For Women Green",razors,women,768,4.6,,4.39,
B01NCNEHCM,Schick Quattro for Women Value Pack with 1 Razor and 4 Razor Blade Refills,razors,women,7758,4.7,,9.17,
B0BQP1WVT9,Billie Razors for Women Shave Kit – Women’s Razor + 4 x 5-Blade Razor Refills + Magnetic Holder – DreamPop,razors,women,4109,4.5,,14.99,
B00AE5FF74,Schick Intuition Pure Nourishment Razors for Women | 1 Razor & 2 Intuition Razor Blades Refill with Organic Cocoa Butter,razors,women,5878,4.6,,8.31,
B09NC9TNJM,"BIC Soleil Escape Women's Disposable Razors, 4 Blade Ladies Razors, Moisture Strip With 100% Natural Almond Oil, Lavender and Eucalyptus Scented Handles, 4 Pack",razors,women,3027,4.5,,6.39,
B00AHF1GTM,"Schick Hydro Silk Razor Disposable Razors for Women with Moisturizing Serum, Basic Pack 3 Count",razors,women,12683,4.6,,10.74,
B004CCJH10,"Schick Intuition Refill, Razors for Women Sensitive Skin | Intuition Razor Blades Refill with Organic Aloe, Razor Refills , 6 Count (Pack of 1)",razors,women,15947,4.7,,15.77,
B001JQLNFA,Gillette Venus ComfortGlide White Tea Women's Razor - 1 Handle + 2 Refills,razors,women,8789,4.6,,9.97,
B014HNOXZS,"Dorco Tinkle Eyebrow Razors for Women, Dermaplane Razor 6 Razors, Eyebrow Trimmer Dermaplaning Tool for Safe and Easy Thanksgiving Gift, Stocking Stuffer",razors,women,135798,4.6,,5.45,
B09NX75HRG,"BIC Soleil Simply Smooth Women's Disposable Razors, 3 Blades With Moisture Strip For a Silky Smooth Shave, 8 Piece Razor Set",razors,women,666,4.6,,9.3,
B000XVSNTQ,"Gillette Venus Extra Smooth Razors for Women, 1 Razor, 2 Blade Refills, Designed for a Close, Smooth Shave",razors,women,11393,4.6,,9.97,
B09PLPZ9KK,"Gillette Venus Smooth Razors for Women, Includes 1 Handle, 6 Razor Blade Refills",razors,women,1823,4.5,,19.94,
B084MVH8CB,"BIC Soleil Sensitive Advanced Women's Disposable Razors With 360 Degree Water Activated Moisture Strip for Enhanced Glide, Shaving Razors With 5 Blades, 5 Count",razors,women,3698,4.6,,13.69,
B072JKK9K1,"Gillette Venus Deluxe Smooth Platinum Razors for Women, 1 Venus Razor, 2 Razor Blade Refills, Metal Handle with Anti-Slip Grip",razors,women,7398,4.7,,16.97,
B07GCCMGWC,"BIC Soleil Comfort Disposable Razors for Women, Sensitive Skin Razor with Aloe Vera and Vitamin E Lubricating Strip and 4 Blades, 10 Piece Razor Set",razors,women,1946,4.7,,11.89,
B00IO41U3K,"Gillette Venus ComfortGlide Womens Razor Blade Refills, 6 Count, Infused with Olay Coconut Scent",razors,women,5210,4.8,,26.44,
B00J0KPECU,"Gillette Venus Extra Smooth Womens Razor Blade Refills, 6 Count, Designed for a Close, Smooth Shave, light blue",razors,women,9060,4.8,,24.97,
B004B8IDFQ,"BIC Soleil Comfort 4-Blade Disposable Razors for Women Sensitive Skin Razor for a Smooth and Close Shave, 3 Piece Razor Set",razors,women,8105,4.6,,5.47,
B00I0UGMQS,"Gillette Venus Extra Smooth Sensitive Disposable Razors for Women with Sensitive Skin, 2 Count",razors,women,6639,4.7,,9.37,
B08W1X6Q74,"Schick Hydro Silk Trimstyle Bikini Razors with Trimmer |5 Blade for Women, Hair Removal | 1 Handle & 3 Razor Blade Refills",razors,women,4658,4.6,,21.56,
B0013MTHWQ,"Gillette Venus Extra Smooth Womens Razor Blade Refills, 4 Count, Designed for a Close, Smooth Shave",razors,women,12949,4.8,,18.47,
B07MRV5H7S,"Gillette Venus Extra Smooth Swirl Razors for Women , 1 Razor , 4 Razor Blade Refills , Flexiball Handle a Close , Shave",razors,women,8317,4.7,,24.94,
B07BMY4JS7,"BIC Soleil Glide Disposable Razors for Women, 5 Blades With Shea Butter Moisture Strip For a Smooth Glide, 2 Piece Razor Set",razors,women,2019,4.6,,6.92,
B09JY674N3,"joy Razors for Women, 1 Handle, 8 Razor Blade Refills, Pink, Lubrastrip to Help Avoid Skin Irritation",razors,women,6978,4.5,,21.94,
B0168MB1RO,"Gillette Venus Extra Smooth Sensitive Womens Razor Blade Refills, 6 Count, Designed for Women with Sensitive Skin, BLUE",razors,women,5865,4.8,,27.37,
B00HT6E2NY,"Schick Hydro Silk Moisturizing Razor Blade Refills for Women with Shower Hanger, 4 Count",razors,women,17949,4.8,,14.97,
B07MRV34KK,"Gillette Venus Platinum Extra Smooth Razors for Women, 1 Venus Razor, 4 Razor Blade Refills, Metal Handle with Anti-Slip Grip",razors,women,9734,4.7,,24.99,
B01IYBJRPK,"Schick Intuition Pure Nourishment Womens Razor Refills with Coconut Milk and Almond Oil, 3 Count (Pack of 4)",razors,women,5646,4.9,,26.19,
B00005AUIE,"Gillette Venus Smooth Womens Razor Blade Refills, 8 Count, Lubracated to Protect the Skin from Irritation, Basic, 8 Count (Pack of 1)",razors,women,13095,4.7,,21.97,
B08JHVGTRR,"Gillette Venus Intimate Grooming Womens Razor Blade Refills with Bikini Trimmer, 4 Count (Pack of 1)",razors,women,6387,4.6,,14.49,
B09M2QHV2C,"Gillette Venus Womens Razor Blade Refills, ComfortGlide White Tea 4 Count and plus Olay 2 Count, 6 Total Refills",razors,women,2313,4.7,,21.94,
B09M2RSWN3,"Gillette Venus Womens Razor Blade Refills, Extra Smooth 4 Count and Venus Deluxe Sensitive 2 Count, 6 Total Refills",razors,women,1343,4.7,,25.94,
B0001LQGPG,"Gillette Sensor3 Sensitive Men's Disposable Razor, 4 Razors",razors,men,40286,4.5,,6.97,
B07CZCQ481,"Amazon Basics 5-Blade MotionSphere Razor for Men with Dual Lubrication and Precision Trimmer, Handle & 16 Cartridges, Cartridges fit, Razor Handles only, 17 Piece Set, Black",razors,men,62260,4.3,,25.38,
B007BF7ELA,"BIC Flex 4 Refillable Razors for Men, Long-Lasting 4 Blade Razors for Sensitive Skin, 1 Handle and 4 Cartridges, 5 Piece Shaving Kit",razors,men,9730,4.4,,6.42,
B00D1G8XA4,"BIC Comfort 3 Refillable Three-Blade Disposable Razor for Men, Sensitive Skin Razor For a Comfortable Shave, 1 Handle and 6 Cartridges, 7 Piece Razor Set",razors,men,24856,4.4,,5.43,
B06X9NWGBX,"Gillette Fusion5 Razor for Men, Handle + 2 Razor Blade Refills",razors,men,12085,4.7,,12.97,
B09NX77X51,"BIC Flex 5 Titanium 5-Blade Disposable Razor for Men, Sensitive Skin Razor For a Smooth, Comfortable and Close Shave, 4 Piece Razor Set",razors,men,4040,4.7,,10.92,
B09NWKQGJ1,"BIC Flex 5 Refillable Razors for Men, Long-Lasting 5 Blade Razors for a Smooth and Comfortable Shave, 1 Handle and 7 Cartridges, 8 Piece Shaving Kit",razors,men,17668,4.6,,12.78,
B08J94S65H,"Schick Xtreme 3 Original Razor — Disposable Head Razor for Sensitive Skin, 12 Count",razors,men,1880,4.4,,14.97,
B07RWK8Y6D,"Amazon Basics 3-Blade Motion Sphere Razor for Men with Dual Lubrication, Handle & 20 Cartridges, Cartridges fit Amazon Basics Razor Handles only, 21 Piece Set, Black (Previously Solimo)",razors,men,7166,4.3,,15.72,
B0B195LFHX,"Harry's Men's Disposable Razors, 3-Blade Razors with Lubricating Strip and Pivoting Head, 10 count",razors,men,864,4.1,,9.67,
B07C3CRB4S,Gillette Sensor2 Plus Disposable Razor (52 Pack),razors,men,6276,4.7,,30.4,
B001JQLNHS,"Gillette Fusion5 Razor Refills for Men, 12 Razor Blade Refills",razors,men,38658,4.7,,39.99,
B07MXCW2CD,"Amazon Basics 3-Blade Disposable Razors for Men, 6 Count (2 Packs of 3), Black (Previously Solimo)",razors,men,3467,4.2,,6.47,
B001F51QSY,"Gillette Mach3 Men's Disposable Razors, 3 Count",razors,men,1121,4.5,,6.94,
B07DZYGDS3,"Gillette Fusion5 Razors for Men, 1 Razor, 4 Blade Refills, Lubrastrip for a More Comfortable Shave",razors,men,34831,4.7,,20.0,
B07DZYGDSF,"Gillette Fusion ProGlide Razors, Men 1 Gillette Razor, 4 Razor Blade Refills, Shields Against Skin Irritation",razors,men,18631,4.7,,19.99,
