ASIN,Product Name,Category,Keyword,Unit Count,Number of Reviews,Average Review Score,Manufacturer,Price
B0BQNRQ1T5,Billie Razors for Women Shave Kit – Razor + 4 x 5-Blade Razor Refills + Magnetic Holder – Minty,razors,women,1,4109,4.5,,$14.99
B07N6W7RPC,"Gillette Venus ComfortGlide Razors for Women, 1 Razor, 4 Razor Blade Refills, White Tea Scented Gel Bars (Pack of 1)",razors,women,5,16307,4.6,,$16.99
B09TRN26Y8,Flamingo 5-Blade Razors for Women - 1 Razor Handle + 4 5-Blade Refills + 1 Shower Holder - Papaya,razors,women,1,3282,4.4,,$14.99
B07MRV34KK,"Gillette Venus Platinum Extra Smooth Razors for Women, 1 Venus Razor, 4 Razor Blade Refills, Metal Handle with Anti-Slip Grip",razors,women,1,9734,4.7,,$24.99
B08FF44M1H,King C. Gillette Safety Razor with Chrome Plated Handle and 5 Platinum Coated Double Edge Safety Razor Blade Refills,razors,women,1,4075,4.3,,$26.41
B09PLPZ9KK,"Gillette Venus Smooth Razors for Women, Includes 1 Handle, 6 Razor Blade Refills",razors,women,1,1823,4.5,,$19.94
B097DK38DP,Electric Shaver for Women Best Electric Razor for Womens Bikini Legs Underarm Public Hairs Rechargeable Trimmer with Detachable Head Cordless Wet Dry Use,razors,women,N/A,8123,4.1,,$33.99
B0037LOPQY,"Gillette Venus Tropical Disposable Razors for Women, 3+1 Count, Designed for a Smooth Shave, Tropical Fragrance Scented Handles",razors,women,4,21863,4.6,,$6.94
B01NCNEHCM,Schick Quattro for Women Value Pack with 1 Razor and 4 Razor Blade Refills,razors,women,1,7758,4.7,,$9.17
B08HRX5925,"Gillette Venus For Pubic Hair And Skin Womens Shaving Kit, 1 Venus Handle, 2 Razor Blade Refills, 2 in 1 Cleanser And Shave Gel 190mL, Daily Soothing Serum For Intimate Grooming 50mL",razors,women,1,6387,4.6,,$41.39
B08JHVDNY1,"Gillette Venus Intimate Grooming Razors for Women, 1 Venus Razor Bikini Trimmer, 2 Razor Blade Refills, Pink, (Package May Vary)",razors,women,1,18253,4.3,,$9.00
B0BHL78NGC,"Gillette Venus Dermaplaning Tool, 2 Blade Refills, Exfoliating Face Razors for Women, Eyebrow Razor, Dermaplane Facial Razor for Women Face",razors,women,1,2195,4.4,,$14.97
B07FVPG88T,"INTUITION Schick Razors for Women Variety Pack with 1 Razor Handle &amp; 4 Intuition Razor Blades Refill | Shaving Kit Women, Girls Shaving Kit Beginners, Razor Gift Set for Women, Razor Starter Kit",razors,women,1,4144,4.6,,$21.99
B0BZT87PC2,"Dorco EVE6 Razors for Women for Extra Smooth Shaving (1 Razor Handle, 2 Pcs Razor Blade Refills), 6 Curved Blades with Flexible Moisture Bar, Womens Razors for Shaving with Aloe Vera Moisture Bar, Interchangeable Cartridge for Sensitive Skin, Mothers Day Gift",razors,women,1,333,4.2,,$9.99
B07SH9BCC9,"Harry&#x27;s Razors for Men - Men&#x27;s Razor Set with 5 Razor Blade Refills, Travel Blade Cover, 2 oz Shave Gel (Ember)",razors,men,1,13708,4.6,,$19.99
B07CZCQ481,"Amazon Basics 5-Blade MotionSphere Razor for Men with Dual Lubrication and Precision Trimmer, Handle &amp; 16 Cartridges, Cartridges fit, Razor Handles only, 17 Piece Set, Black",razors,men,16,62260,4.3,,$25.38
B07DZYGDS3,"Gillette Fusion5 Razors for Men, 1 Razor, 4 Blade Refills, Lubrastrip for a More Comfortable Shave",razors,men,1,34829,4.7,,$20.00
B09PPHDC5N,Harry&#x27;s Shaving Razors for Men includes a Razor and 3 Razor Blade Refills (Ember),razors,men,1,5270,4.5,,$11.99
B011L8WJIA,"Double Edge Safety Razor by VIKINGS BLADE, Fat &amp; Short Handle, Swedish Steel Blades Pack + Luxury Case. Twist to Open, Heavy Duty, Reduces Razor Burn, Smooth, Close, Clean Shave - Model: The Chieftain",razors,men,1,14927,4.5,,$24.97
B08TYZKNYC,"Bambaw Safety Razor for Men, Metal Razor with a Blade for Safety Razor, Razor Zero Waste – Black",razors,men,1,12797,4.4,,$20.49
B0B195LFHX,"Harry&#x27;s Men&#x27;s Disposable Razors, 3-Blade Razors with Lubricating Strip and Pivoting Head, 10 count",razors,men,10,864,4.1,,$9.67
B0C5FLHNLY,"The Excalibur Premium Double-Edge Safety Razor for Men, with 5 Platinum Coated Double Edge Safety Razor Blades and Razor Stand",razors,men,1,19,4.5,,$19.99
B07YT557MW,Schick Hydro Sensitive Razor for Men — Razor for Men Sensitive Skin with 17 Razor Blades,razors,men,1,18168,4.6,,$49.99
B08FF44M1H,King C. Gillette Safety Razor with Chrome Plated Handle and 5 Platinum Coated Double Edge Safety Razor Blade Refills,razors,men,1,4075,4.3,,$26.41
B07MWHF9J9,MÜHLE TRADITIONAL R89 Double Edge Safety Razor (Closed Comb) | Perfect for Everyday Use | Barbershop Quality Close Smooth Shave | Luxury Razor for Men,razors,men,1,499,4.4,,$46.00
